"Date","Price","Open","High","Low","Vol.","Change %"
"2025-03-01","1.4308","1.4448","1.4543","1.4241","","-1.09%"
"2025-02-01","1.4465","1.4689","1.4794","1.4151","","-0.41%"
"2025-01-01","1.4524","1.4383","1.4595","1.4261","","1.00%"
"2024-12-01","1.4380","1.4007","1.4469","1.3986","","2.70%"
"2024-11-01","1.4002","1.3931","1.4179","1.3822","","0.50%"
"2024-10-01","1.3933","1.3525","1.3947","1.3472","","3.02%"
"2024-09-01","1.3524","1.3489","1.3649","1.3419","","0.23%"
"2024-08-01","1.3493","1.3806","1.3946","1.3438","","-2.28%"
"2024-07-01","1.3808","1.3678","1.3866","1.3588","","0.96%"
"2024-06-01","1.3677","1.3628","1.3793","1.3602","","0.37%"
"2024-05-01","1.3626","1.3779","1.3785","1.3589","","-1.10%"
"2024-04-01","1.3777","1.3545","1.3848","1.3477","","1.77%"
"2024-03-01","1.3537","1.3573","1.3615","1.3419","","-0.28%"
"2024-02-01","1.3575","1.3436","1.3607","1.3364","","1.05%"
"2024-01-01","1.3434","1.3247","1.3543","1.3228","","1.43%"
"2023-12-01","1.3245","1.3562","1.3621","1.3176","","-2.34%"
"2023-11-01","1.3562","1.3874","1.3901","1.3541","","-2.25%"
"2023-10-01","1.3874","1.3572","1.3894","1.3556","","2.19%"
"2023-09-01","1.3577","1.3508","1.3696","1.3381","","0.52%"
"2023-08-01","1.3507","1.3190","1.3641","1.3182","","2.43%"
"2023-07-01","1.3187","1.3242","1.3389","1.3091","","-0.37%"
"2023-06-01","1.3236","1.3572","1.3586","1.3116","","-2.48%"
"2023-05-01","1.3572","1.3544","1.3656","1.3314","","0.16%"
"2023-04-01","1.3550","1.3518","1.3669","1.3302","","0.26%"
"2023-03-01","1.3515","1.3642","1.3863","1.3507","","-0.95%"
"2023-02-01","1.3645","1.3305","1.3666","1.3261","","2.56%"
"2023-01-01","1.3305","1.3551","1.3686","1.3298","","-1.80%"
