Date,Value,labels
09-01-17,15346043.4,8/31/17 10:00
10-01-17,15326635.9,9/30/17 10:00
11-01-17,16279496.2,10/31/17 10:00
12-01-17,17181003.5,11/30/17 10:00
01-01-18,16396596.9,12/31/17 10:00
02-01-18,15294790.6,1/31/18 10:00
03-01-18,17088041.6,2/28/18 10:00
04-01-18,15092637.8,3/31/18 10:00
05-01-18,16635723.7,4/30/18 10:00
06-01-18,16171363.8,5/31/18 10:00
07-01-18,17189657.6,6/30/18 10:00
08-01-18,18378323.2,7/31/18 10:00
09-01-18,16399990.7,8/31/18 10:00
10-01-18,18054493.4,9/30/18 10:00
11-01-18,17769011,10/31/18 10:00
12-01-18,18120632.9,11/30/18 10:00
01-01-19,16802184,12/31/18 10:00
02-01-19,15297976.8,1/31/19 10:00
03-01-19,17110515.3,2/28/19 10:00
04-01-19,16969581,3/31/19 10:00
05-01-19,16692064,4/30/19 10:00
06-01-19,16886632.2,5/31/19 10:00
07-01-19,17651423.4,6/30/19 10:00
08-01-19,17803173.9,7/31/19 10:00
09-01-19,16748249.5,8/31/19 10:00
10-01-19,17044566.1,9/30/19 10:00
11-01-19,17046359.4,10/31/19 10:00
12-01-19,18415017.2,11/30/19 10:00
01-01-20,17766472.1,12/31/19 10:00
02-01-20,16860696.4,1/31/20 10:00
03-01-20,17673637.4,2/29/20 10:00
04-01-20,14765665.2,3/31/20 10:00
05-01-20,14252980.4,4/30/20 10:00
06-01-20,14824629.3,5/31/20 10:00
07-01-20,15334683.5,6/30/20 10:00
08-01-20,14999529,7/31/20 10:00
09-01-20,14967061.2,8/31/20 10:00
10-01-20,16450312.3,9/30/20 10:00
11-01-20,17441504,10/31/20 10:00
12-01-20,18746768.3,11/30/20 10:00
01-01-21,18414238.4,12/31/20 10:00
02-01-21,15899270.4,1/31/21 10:00
03-01-21,17863606.4,2/28/21 10:00
04-01-21,15775992.8,3/31/21 10:00
05-01-21,16481110.2,4/30/21 10:00
06-01-21,17142486.3,5/31/21 10:00
07-01-21,18049834.4,6/30/21 10:00
08-01-21,17790435.4,7/31/21 10:00
09-01-21,16876598.8,8/31/21 10:00
10-01-21,18916949.7,9/30/21 10:00
11-01-21,18356536.2,10/31/21 10:00
12-01-21,17973513.6,11/30/21 10:00
01-01-22,17539058.9,12/31/21 10:00
