Period,Year,Month,Oil Type,Volume (m3/d),Volume (bbl/d)
07-01-87,1987,July,Total,104966.096774,660536.636848
08-01-87,1987,August,Light,47972.712903,301885.422202
08-01-87,1987,August,Medium,16242.051612,102208.908187
08-01-87,1987,August,Heavy,34521.506451,217238.903525
08-01-87,1987,August,Total,98736.270967,621333.233913
09-01-87,1987,September,Light,45847.893333,288514.236498
09-01-87,1987,September,Medium,13942.393333,87737.487484
09-01-87,1987,September,Heavy,38627.546666,243077.627434
09-01-87,1987,September,Total,98417.833333,619329.351417
10-01-87,1987,October,Light,49102.296774,308993.731972
10-01-87,1987,October,Medium,19652.364516,123669.519612
10-01-87,1987,October,Heavy,34896.596774,219599.293287
10-01-87,1987,October,Total,103651.258064,652262.544870
11-01-87,1987,November,Light,43474.476666,273578.664813
11-01-87,1987,November,Medium,17570.646666,110569.566871
11-01-87,1987,November,Heavy,38574.106666,242741.337156
11-01-87,1987,November,Total,99619.230000,626889.568840
12-01-87,1987,December,Light,38569.706451,242713.647232
12-01-87,1987,December,Medium,19060.570967,119945.447438
12-01-87,1987,December,Heavy,34878.690322,219486.610547
12-01-87,1987,December,Total,92508.967741,582145.705218
01-01-88,1988,January,Light,42451.503225,267141.239235
01-01-88,1988,January,Medium,20349.116129,128054.077876
01-01-88,1988,January,Heavy,45424.283870,285848.522727
01-01-88,1988,January,Total,108224.903225,681043.839839
02-01-88,1988,February,Light,48060.084827,302435.241228
02-01-88,1988,February,Medium,21896.492413,137791.495562
02-01-88,1988,February,Heavy,41633.393103,261992.989225
02-01-88,1988,February,Total,111589.970344,702219.726014
03-01-88,1988,March,Light,50948.532258,320611.827860
03-01-88,1988,March,Medium,21123.061290,132924.404102
03-01-88,1988,March,Heavy,43035.677419,270817.363898
03-01-88,1988,March,Total,115107.270967,724353.595860
04-01-88,1988,April,Light,51558.890000,324452.721849
04-01-88,1988,April,Medium,21703.443333,136576.665304
04-01-88,1988,April,Heavy,43462.746666,273504.849601
04-01-88,1988,April,Total,116725.080000,734534.236754
05-01-88,1988,May,Light,53450.464516,336356.129784
05-01-88,1988,May,Medium,22698.319354,142837.277840
05-01-88,1988,May,Heavy,44194.251612,278108.105622
05-01-88,1988,May,Total,120343.035483,757301.513246
06-01-88,1988,June,Light,53855.390000,338904.267949
06-01-88,1988,June,Medium,23025.146666,144893.955377
06-01-88,1988,June,Heavy,43294.000000,272442.950958
06-01-88,1988,June,Total,120174.536666,756241.174285
07-01-88,1988,July,Light,48762.438709,306855.053771
07-01-88,1988,July,Medium,22925.151612,144264.700803
07-01-88,1988,July,Heavy,40617.812903,255602.088253
07-01-88,1988,July,Total,112305.403225,706721.842827
08-01-88,1988,August,Light,48409.967741,304637.004375
08-01-88,1988,August,Medium,21941.119354,138072.326520
08-01-88,1988,August,Heavy,41565.625806,261566.539316
08-01-88,1988,August,Total,111916.712903,704275.870210
09-01-88,1988,September,Light,46403.883333,292013.002061
09-01-88,1988,September,Medium,21304.250000,134064.598742
09-01-88,1988,September,Heavy,37646.076666,236901.377074
09-01-88,1988,September,Total,105354.210000,662978.977878
10-01-88,1988,October,Light,48355.654838,304295.221041
10-01-88,1988,October,Medium,19576.770967,123193.820222
10-01-88,1988,October,Heavy,38172.600000,240214.713118
10-01-88,1988,October,Total,106105.025806,667703.754381
11-01-88,1988,November,Light,57479.000000,361707.127503
11-01-88,1988,November,Medium,20385.726666,128284.462754
11-01-88,1988,November,Heavy,36272.506666,228257.697485
11-01-88,1988,November,Total,114137.233333,718249.287742
12-01-88,1988,December,Light,54114.987096,340537.875357
12-01-88,1988,December,Medium,19210.683870,120890.086472
12-01-88,1988,December,Heavy,38121.919354,239895.787066
12-01-88,1988,December,Total,111447.590322,701323.748895
01-01-89,1989,January,Light,51963.151612,326996.682369
01-01-89,1989,January,Medium,19947.767741,125528.449869
01-01-89,1989,January,Heavy,34862.661290,219385.742139
01-01-89,1989,January,Total,106773.580645,671910.874378
02-01-89,1989,February,Light,49631.196428,312322.021864
02-01-89,1989,February,Medium,19886.085714,125140.293690
02-01-89,1989,February,Heavy,36015.692857,226641.604906
02-01-89,1989,February,Total,105532.975000,664103.920460
03-01-89,1989,March,Light,47696.503225,300147.274200
03-01-89,1989,March,Medium,20493.251612,128961.101865
03-01-89,1989,March,Heavy,36875.277419,232050.847635
03-01-89,1989,March,Total,105065.032258,661159.223700
04-01-89,1989,April,Light,42153.013333,265262.885026
04-01-89,1989,April,Medium,20665.903333,130047.574452
04-01-89,1989,April,Heavy,34134.426666,214803.065790
04-01-89,1989,April,Total,96953.343333,610113.525269
05-01-89,1989,May,Light,48754.674193,306806.192782
05-01-89,1989,May,Medium,20658.054838,129998.184998
05-01-89,1989,May,Heavy,37090.132258,233402.898411
05-01-89,1989,May,Total,106502.861290,670207.276191
06-01-89,1989,June,Light,52124.790000,328013.849625
06-01-89,1989,June,Medium,23857.803333,150133.744711
06-01-89,1989,June,Heavy,32601.206666,205154.731581
06-01-89,1989,June,Total,108583.800000,683302.325917
07-01-89,1989,July,Light,43978.896774,276752.908418
07-01-89,1989,July,Medium,18841.812903,118568.834221
07-01-89,1989,July,Heavy,29939.403225,188404.383165
07-01-89,1989,July,Total,92760.112903,583726.125804
08-01-89,1989,August,Light,42727.112903,268875.611523
08-01-89,1989,August,Medium,24133.719354,151870.044778
08-01-89,1989,August,Heavy,34002.635483,213973.722723
08-01-89,1989,August,Total,100863.467741,634719.379024
09-01-89,1989,September,Light,56330.033333,354476.844572
09-01-89,1989,September,Medium,19758.533333,124337.624796
09-01-89,1989,September,Heavy,34530.926666,217298.183591
09-01-89,1989,September,Total,110619.493333,696112.652959
10-01-89,1989,October,Light,42425.858064,266979.857902
10-01-89,1989,October,Medium,22075.029032,138915.000971
10-01-89,1989,October,Heavy,32317.548387,203369.710591
10-01-89,1989,October,Total,96818.435483,609264.569464
11-01-89,1989,November,Light,41818.793333,263159.686359
11-01-89,1989,November,Medium,24766.116666,155849.630629
11-01-89,1989,November,Heavy,30886.606666,194364.998969
11-01-89,1989,November,Total,97471.516666,613374.315956
12-01-89,1989,December,Light,46396.206451,291964.692542
12-01-89,1989,December,Medium,21692.806451,136509.728929
12-01-89,1989,December,Heavy,38737.883870,243771.963683
12-01-89,1989,December,Total,106826.896774,672246.385154
01-01-90,1990,January,Light,41174.667741,259106.296123
01-01-90,1990,January,Medium,23933.580645,150610.600498
01-01-90,1990,January,Heavy,31228.658064,196517.479502
01-01-90,1990,January,Total,96336.906451,606234.376122
02-01-90,1990,February,Light,33821.671428,212834.941801
02-01-90,1990,February,Medium,24163.942857,152060.236956
02-01-90,1990,February,Heavy,36804.996428,231608.579411
02-01-90,1990,February,Total,94790.610714,596503.758168
03-01-90,1990,March,Light,31764.813225,199891.427262
03-01-90,1990,March,Medium,25669.277419,161533.092093
03-01-90,1990,March,Heavy,41529.451612,261338.900288
03-01-90,1990,March,Total,98963.542258,622763.419643
04-01-90,1990,April,Light,44075.853333,277363.042180
04-01-90,1990,April,Medium,25159.983333,158328.177239
04-01-90,1990,April,Heavy,27522.606666,173195.828021
04-01-90,1990,April,Total,96758.443333,608887.047439
05-01-90,1990,May,Light,52806.803225,332305.661327
05-01-90,1990,May,Medium,22015.180645,138538.383629
05-01-90,1990,May,Heavy,33937.909677,213566.412479
05-01-90,1990,May,Total,108759.893548,684410.457435
06-01-90,1990,June,Light,46968.726666,295567.480385
06-01-90,1990,June,Medium,26674.596666,167859.422356
06-01-90,1990,June,Heavy,36377.680000,228919.538232
06-01-90,1990,June,Total,110021.003333,692346.440973
07-01-90,1990,July,Light,43427.480645,273282.925570
07-01-90,1990,July,Medium,24665.000000,155213.317905
07-01-90,1990,July,Heavy,35607.119354,224070.510282
07-01-90,1990,July,Total,103699.600000,652566.753757
08-01-90,1990,August,Light,50796.558064,319655.475992
08-01-90,1990,August,Medium,25867.283870,162779.118378
08-01-90,1990,August,Heavy,30261.441935,190430.926714
08-01-90,1990,August,Total,106925.283870,672865.521084
09-01-90,1990,September,Light,48131.436666,302884.248148
09-01-90,1990,September,Medium,24058.960000,151399.594849
09-01-90,1990,September,Heavy,32873.773333,206869.954637
09-01-90,1990,September,Total,105064.170000,661153.797634
10-01-90,1990,October,Light,46175.358064,290574.925224
10-01-90,1990,October,Medium,23537.880645,148120.516983
10-01-90,1990,October,Heavy,29909.745161,188217.749206
10-01-90,1990,October,Total,99622.983870,626913.191413
11-01-90,1990,November,Light,47288.213333,297577.964292
11-01-90,1990,November,Medium,27876.323333,175421.716422
11-01-90,1990,November,Heavy,37008.473333,232889.030475
11-01-90,1990,November,Total,112173.010000,705888.711190
12-01-90,1990,December,Light,50503.770967,317813.008661
12-01-90,1990,December,Medium,28588.196774,179901.434188
12-01-90,1990,December,Heavy,37429.945161,235541.292418
12-01-90,1990,December,Total,116521.912903,733255.735266
01-01-91,1991,January,Light,61383.141935,386275.334411
01-01-91,1991,January,Medium,25386.948387,159756.435866
01-01-91,1991,January,Heavy,40759.351612,256492.771113
01-01-91,1991,January,Total,127529.441935,802524.541390
02-01-91,1991,February,Light,72046.117857,453375.917080
02-01-91,1991,February,Medium,29980.382142,188662.257630
02-01-91,1991,February,Heavy,42679.621428,268576.754464
02-01-91,1991,February,Total,144706.121428,910614.929175
03-01-91,1991,March,Light,63313.186129,398420.826524
03-01-91,1991,March,Medium,24456.561290,153901.642912
03-01-91,1991,March,Heavy,34978.764516,220116.363137
03-01-91,1991,March,Total,122748.511935,772438.832573
04-01-91,1991,April,Light,65916.250000,414801.535226
04-01-91,1991,April,Medium,23511.990000,147957.590855
04-01-91,1991,April,Heavy,35410.253333,222831.660560
04-01-91,1991,April,Total,124838.493333,785590.786642
05-01-91,1991,May,Light,64169.487096,403809.406063
05-01-91,1991,May,Medium,28932.141935,182065.831904
05-01-91,1991,May,Heavy,31231.361290,196534.490515
05-01-91,1991,May,Total,124332.990322,782409.728482
06-01-91,1991,June,Light,55198.216666,347354.484138
06-01-91,1991,June,Medium,23376.080000,147102.328661
06-01-91,1991,June,Heavy,34358.419333,216212.619611
06-01-91,1991,June,Total,112932.716000,710669.432410
07-01-91,1991,July,Light,52540.961290,330632.756043
07-01-91,1991,July,Medium,21680.638709,136433.159069
07-01-91,1991,July,Heavy,27229.800000,171353.237539
07-01-91,1991,July,Total,101451.400000,638419.152650
08-01-91,1991,August,Light,58089.403225,365548.307715
08-01-91,1991,August,Medium,26757.161290,168378.989726
08-01-91,1991,August,Heavy,32859.061290,206777.373854
08-01-91,1991,August,Total,117705.625806,740704.671296
09-01-91,1991,September,Light,60519.923333,380843.223188
09-01-91,1991,September,Medium,21879.650000,137685.508660
09-01-91,1991,September,Heavy,36803.386666,231598.449409
09-01-91,1991,September,Total,119202.960000,750127.181257
10-01-91,1991,October,Light,58256.893548,366602.300364
10-01-91,1991,October,Medium,18919.148387,119055.495362
10-01-91,1991,October,Heavy,33495.590322,210782.960031
10-01-91,1991,October,Total,110671.632258,696440.755757
11-01-91,1991,November,Light,63817.190000,401592.450812
11-01-91,1991,November,Medium,29312.840000,184461.510384
11-01-91,1991,November,Heavy,32039.646666,201620.914804
11-01-91,1991,November,Total,125169.676666,787674.876000
12-01-91,1991,December,Light,73580.206451,463029.717230
12-01-91,1991,December,Medium,26247.258064,165170.241642
12-01-91,1991,December,Heavy,33464.648387,210588.246855
12-01-91,1991,December,Total,133292.112903,838788.205728
01-01-92,1992,January,Light,73363.396774,461665.364934
01-01-92,1992,January,Medium,30216.851612,190150.326190
01-01-92,1992,January,Heavy,33580.429032,211316.837899
01-01-92,1992,January,Total,137160.677419,863132.529023
02-01-92,1992,February,Light,82446.065517,518821.300513
02-01-92,1992,February,Medium,28227.410344,177631.056780
